행정구역(시군구)별(1),행정구역(시군구)별(2),총인구수 (명),남자인구수 (명),여자인구수 (명)
전국,소계,"51,824,142","25,836,561","25,987,581"
서울특별시,소계,"9,648,606","4,690,282","4,958,324"
서울특별시,　　　종로구,"148,884","72,372","76,512"
서울특별시,　　　중구,"124,836","61,018","63,818"
서울특별시,　　　용산구,"230,113","110,646","119,467"
서울특별시,　　　성동구,"292,537","142,904","149,633"
서울특별시,　　　광진구,"345,248","166,535","178,713"
서울특별시,　　　동대문구,"341,756","169,139","172,617"
서울특별시,　　　중랑구,"393,933","194,665","199,268"
서울특별시,　　　성북구,"437,961","211,283","226,678"
서울특별시,　　　강북구,"306,639","149,427","157,212"
서울특별시,　　　도봉구,"323,431","157,603","165,828"
서울특별시,　　　노원구,"520,366","250,929","269,437"
서울특별시,　　　은평구,"478,336","229,318","249,018"
서울특별시,　　　서대문구,"311,132","148,908","162,224"
서울특별시,　　　마포구,"371,200","174,741","196,459"
서울특별시,　　　양천구,"454,270","222,789","231,481"
서울특별시,　　　강서구,"579,082","279,269","299,813"
서울특별시,　　　구로구,"402,642","198,687","203,955"
서울특별시,　　　금천구,"231,290","116,950","114,340"
서울특별시,　　　영등포구,"380,443","188,029","192,414"
서울특별시,　　　동작구,"389,754","188,428","201,326"
서울특별시,　　　관악구,"493,374","247,472","245,902"
서울특별시,　　　서초구,"423,829","202,692","221,137"
서울특별시,　　　강남구,"537,879","257,231","280,648"
서울특별시,　　　송파구,"665,463","320,991","344,472"
서울특별시,　　　강동구,"464,208","228,256","235,952"
부산광역시,소계,"3,387,761","1,658,540","1,729,221"
부산광역시,　　　중구,"41,551","20,262","21,289"
부산광역시,　　　서구,"107,824","52,194","55,630"
부산광역시,　　　동구,"88,639","43,370","45,269"
부산광역시,　　　영도구,"112,809","55,571","57,238"
부산광역시,　　　부산진구,"360,025","173,763","186,262"
부산광역시,　　　동래구,"270,678","131,712","138,966"
부산광역시,　　　남구,"266,989","130,623","136,366"
부산광역시,　　　북구,"282,799","139,828","142,971"
부산광역시,　　　해운대구,"401,280","193,072","208,208"
부산광역시,　　　사하구,"310,740","154,760","155,980"
부산광역시,　　　금정구,"231,743","113,219","118,524"
부산광역시,　　　강서구,"139,088","71,882","67,206"
부산광역시,　　　연제구,"208,743","100,450","108,293"
부산광역시,　　　수영구,"176,703","83,512","93,191"
부산광역시,　　　사상구,"212,038","107,128","104,910"
부산광역시,　　　기장군,"176,112","87,194","88,918"
대구광역시,소계,"2,413,191","1,190,244","1,222,947"
대구광역시,　　　중구,"76,159","36,586","39,573"
대구광역시,　　　동구,"341,661","168,276","173,385"
대구광역시,　　　서구,"170,005","85,148","84,857"
대구광역시,　　　남구,"146,255","70,279","75,976"
대구광역시,　　　북구,"439,218","218,625","220,593"
대구광역시,　　　수성구,"423,937","205,155","218,782"
대구광역시,　　　달서구,"555,948","274,175","281,773"
대구광역시,　　　달성군,"260,008","132,000","128,008"
인천광역시,소계,"2,941,705","1,473,245","1,468,460"
인천광역시,　　　중구,"139,776","72,561","67,215"
인천광역시,　　　중구영종출장소,0,0,0
인천광역시,　　　중구용유출장소,0,0,0
인천광역시,　　　동구,"62,381","31,515","30,866"
인천광역시,　　　미추홀구,"405,125","204,002","201,123"
인천광역시,　　　연수구,"389,527","193,548","195,979"
인천광역시,　　　남동구,"524,004","260,227","263,777"
인천광역시,　　　부평구,"493,610","243,934","249,676"
인천광역시,　　　계양구,"296,534","147,871","148,663"
인천광역시,　　　서구,"541,164","273,369","267,795"
인천광역시,　　　서구검단출장소,0,0,0
인천광역시,　　　강화군,"69,236","34,655","34,581"
인천광역시,　　　옹진군,"20,348","11,563","8,785"
광주광역시,소계,"1,447,953","716,331","731,622"
광주광역시,　　　동구,"102,745","50,674","52,071"
광주광역시,　　　서구,"295,368","144,682","150,686"
광주광역시,　　　남구,"214,579","103,263","111,316"
광주광역시,　　　북구,"430,209","213,621","216,588"
광주광역시,　　　광산구,"405,052","204,091","200,961"
대전광역시,대전광역시,"1,462,064","729,663","732,401"
대전광역시,　　　동구,"224,103","113,026","111,077"
대전광역시,　　　중구,"234,654","115,744","118,910"
대전광역시,　　　서구,"476,945","234,558","242,387"
대전광역시,　　　유성구,"350,374","176,852","173,522"
대전광역시,　　　대덕구,"175,988","89,483","86,505"
울산광역시,소계,"1,132,953","582,190","550,763"
울산광역시,　　　중구,"216,523","109,644","106,879"
울산광역시,　　　남구,"319,189","162,809","156,380"
울산광역시,　　　동구,"156,209","81,652","74,557"
울산광역시,　　　북구,"218,774","113,324","105,450"
울산광역시,　　　울주군,"222,258","114,761","107,497"
세종특별자치시,소계,"359,569","179,528","180,041"
세종특별자치시,　　　세종시,"359,569","179,528","180,041"
경기도,소계,"13,471,758","6,777,066","6,694,692"
경기도,　　　수원시,"1,186,273","597,254","589,019"
경기도,　　　장안구,"272,823","137,348","135,475"
경기도,　　　권선구,"368,157","185,850","182,307"
경기도,　　　팔달구,"177,307","89,461","87,846"
경기도,　　　영통구,"367,986","184,595","183,391"
경기도,　　　성남시,"938,819","464,828","473,991"
경기도,　　　수정구,"241,217","122,005","119,212"
경기도,　　　중원구,"216,128","109,410","106,718"
경기도,　　　분당구,"481,474","233,413","248,061"
경기도,　　　의정부시,"462,619","227,725","234,894"
경기도,　　　안양시,"550,939","272,392","278,547"
경기도,　　　만안구,"238,131","119,191","118,940"
경기도,　　　동안구,"312,808","153,201","159,607"
경기도,　　　부천시,"816,087","404,763","411,324"
경기도,　　　광명시,"296,785","146,369","150,416"
경기도,　　　평택시,"544,085","281,521","262,564"
경기도,　　　송탄출장소,0,0,0
경기도,　　　안중출장소,0,0,0
경기도,　　　동두천시,"94,318","47,005","47,313"
경기도,　　　안산시,"655,700","336,325","319,375"
경기도,　　　상록구,"352,962","180,089","172,873"
경기도,　　　단원구,"302,738","156,236","146,502"
경기도,　　　고양시,"1,082,420","529,886","552,534"
경기도,　　　덕양구,"479,395","236,862","242,533"
경기도,　　　일산동구,"300,850","146,365","154,485"
경기도,　　　일산서구,"302,175","146,659","155,516"
경기도,　　　과천시,"67,279","33,019","34,260"
경기도,　　　구리시,"196,685","97,601","99,084"
경기도,　　　남양주시,"718,434","357,710","360,724"
경기도,　　　풍양출장소,0,0,0
경기도,　　　오산시,"230,522","119,237","111,285"
경기도,　　　시흥시,"507,681","265,172","242,509"
경기도,　　　군포시,"272,533","135,192","137,341"
경기도,　　　의왕시,"163,208","81,175","82,033"
경기도,　　　하남시,"298,005","149,595","148,410"
경기도,　　　용인시,"1,075,918","533,604","542,314"
경기도,　　　처인구,"258,065","132,193","125,872"
경기도,　　　기흥구,"440,649","217,511","223,138"
경기도,　　　수지구,"377,204","183,900","193,304"
경기도,　　　파주시,"467,954","237,118","230,836"
경기도,　　　이천시,"218,793","113,156","105,637"
경기도,　　　안성시,"187,488","96,622","90,866"
경기도,　　　김포시,"479,290","240,076","239,214"
경기도,　　　화성시,"859,329","446,168","413,161"
경기도,　　　화성시동부출장소,0,0,0
경기도,　　　화성시동탄출장소,0,0,0
경기도,　　　광주시,"382,835","195,680","187,155"
경기도,　　　양주시,"233,072","118,218","114,854"
경기도,　　　포천시,"147,480","78,036","69,444"
경기도,　　　여주시,"112,129","56,938","55,191"
경기도,　　　연천군,"43,368","22,707","20,661"
경기도,　　　가평군,"62,339","32,128","30,211"
경기도,　　　양평군,"119,371","59,846","59,525"
강원도,소계,"1,540,875","775,186","765,689"
강원도,　　　춘천시,"283,141","139,756","143,385"
강원도,　　　원주시,"354,933","176,007","178,926"
강원도,　　　강릉시,"213,231","105,704","107,527"
강원도,　　　동해시,"90,320","45,855","44,465"
강원도,　　　태백시,"42,381","21,456","20,925"
강원도,　　　속초시,"82,531","40,874","41,657"
강원도,　　　삼척시,"64,680","32,670","32,010"
강원도,　　　홍천군,"69,041","35,564","33,477"
강원도,　　　횡성군,"46,447","23,810","22,637"
강원도,　　　영월군,"38,418","19,863","18,555"
강원도,　　　평창군,"41,514","21,269","20,245"
강원도,　　　정선군,"36,704","19,071","17,633"
강원도,　　　철원군,"44,380","23,071","21,309"
강원도,　　　화천군,"24,652","13,377","11,275"
강원도,　　　양구군,"22,123","11,748","10,375"
강원도,　　　인제군,"31,665","17,076","14,589"
강원도,　　　고성군,"26,734","13,771","12,963"
강원도,　　　양양군,"27,980","14,244","13,736"
충청북도,소계,"1,599,122","810,751","788,371"
충청북도,　　　청주시,"846,204","426,413","419,791"
충청북도,　　　서원구,"193,371","95,957","97,414"
충청북도,　　　청원구,"193,726","99,479","94,247"
충청북도,　　　상당구,"193,027","95,921","97,106"
충청북도,　　　흥덕구,"266,080","135,056","131,024"
충청북도,　　　충주시,"210,058","106,274","103,784"
충청북도,　　　제천시,"132,506","66,498","66,008"
충청북도,　　　보은군,"32,371","16,281","16,090"
충청북도,　　　옥천군,"50,474","25,431","25,043"
충청북도,　　　영동군,"47,023","23,396","23,627"
충청북도,　　　증평군,"36,685","19,080","17,605"
충청북도,　　　진천군,"84,116","44,050","40,066"
충청북도,　　　괴산군,"38,009","19,521","18,488"
충청북도,　　　음성군,"92,733","49,129","43,604"
충청북도,　　　단양군,"28,943","14,678","14,265"
충청남도,소계,"2,119,542","1,082,026","1,037,516"
충청남도,　　　당진시,"166,218","88,241","77,977"
충청남도,　　　천안시,"658,295","336,095","322,200"
충청남도,　　　동남구,"257,397","130,449","126,948"
충청남도,　　　서북구,"400,898","205,646","195,252"
충청남도,　　　공주시,"104,319","52,177","52,142"
충청남도,　　　보령시,"99,673","50,499","49,174"
충청남도,　　　아산시,"317,626","164,838","152,788"
충청남도,　　　서산시,"175,623","91,471","84,152"
충청남도,　　　논산시,"116,315","58,131","58,184"
충청남도,　　　계룡시,"43,128","21,495","21,633"
충청남도,　　　금산군,"51,227","25,815","25,412"
충청남도,　　　부여군,"65,039","32,214","32,825"
충청남도,　　　서천군,"51,657","25,507","26,150"
충청남도,　　　청양군,"30,750","15,572","15,178"
충청남도,　　　홍성군,"99,753","49,639","50,114"
충청남도,　　　예산군,"78,048","39,184","38,864"
충청남도,　　　태안군,"61,871","31,148","30,723"
전라북도,소계,"1,801,319","895,485","905,834"
전라북도,　　　전주시,"657,998","323,761","334,237"
전라북도,　　　완산구,"339,227","165,112","174,115"
전라북도,　　　덕진구,"318,771","158,649","160,122"
전라북도,　　　전주시효자출장소,0,0,0
전라북도,　　　군산시,"267,612","135,263","132,349"
전라북도,　　　익산시,"280,847","139,818","141,029"
전라북도,　　　익산시함열출장소,0,0,0
전라북도,　　　정읍시,"108,344","53,690","54,654"
전라북도,　　　남원시,"80,375","39,409","40,966"
전라북도,　　　김제시,"82,193","40,756","41,437"
전라북도,　　　완주군,"91,422","46,951","44,471"
전라북도,　　　진안군,"25,302","12,773","12,529"
전라북도,　　　무주군,"23,990","11,968","12,022"
전라북도,　　　장수군,"22,035","10,987","11,048"
전라북도,　　　임실군,"27,179","13,910","13,269"
전라북도,　　　순창군,"27,624","13,437","14,187"
전라북도,　　　고창군,"54,435","26,924","27,511"
전라북도,　　　부안군,"51,963","25,838","26,125"
전라남도,소계,"1,849,795","929,889","919,906"
전라남도,　　　목포시,"222,809","110,972","111,837"
전라남도,　　　여수시,"280,213","142,979","137,234"
전라남도,　　　순천시,"282,336","140,880","141,456"
전라남도,　　　나주시,"116,348","58,542","57,806"
전라남도,　　　광양시,"151,016","78,778","72,238"
전라남도,　　　담양군,"46,545","23,627","22,918"
전라남도,　　　곡성군,"27,952","13,675","14,277"
전라남도,　　　구례군,"25,505","12,397","13,108"
전라남도,　　　고흥군,"63,814","31,004","32,810"
전라남도,　　　보성군,"40,305","19,650","20,655"
전라남도,　　　화순군,"62,478","30,888","31,590"
전라남도,　　　장흥군,"37,528","18,270","19,258"
전라남도,　　　강진군,"34,487","16,667","17,820"
전라남도,　　　해남군,"68,589","33,876","34,713"
전라남도,　　　영암군,"53,652","27,599","26,053"
전라남도,　　　무안군,"87,570","43,952","43,618"
전라남도,　　　함평군,"31,899","16,006","15,893"
전라남도,　　　영광군,"52,944","26,399","26,545"
전라남도,　　　장성군,"44,432","22,774","21,658"
전라남도,　　　완도군,"49,757","25,033","24,724"
전라남도,　　　진도군,"30,709","15,181","15,528"
전라남도,　　　신안군,"38,907","20,740","18,167"
경상북도,소계,"2,636,747","1,328,167","1,308,580"
경상북도,　　　포항시,"503,051","254,420","248,631"
경상북도,　　　남구,"230,712","119,052","111,660"
경상북도,　　　북구,"272,339","135,368","136,971"
경상북도,　　　경주시,"253,579","126,929","126,650"
경상북도,　　　김천시,"140,560","70,609","69,951"
경상북도,　　　안동시,"158,493","78,398","80,095"
경상북도,　　　구미시,"415,409","213,328","202,081"
경상북도,　　　영주시,"102,917","51,011","51,906"
경상북도,　　　영천시,"102,024","51,890","50,134"
경상북도,　　　상주시,"96,942","47,506","49,436"
경상북도,　　　문경시,"71,030","34,809","36,221"
경상북도,　　　경산시,"264,279","133,031","131,248"
경상북도,　　　군위군,"23,130","11,820","11,310"
경상북도,　　　의성군,"51,501","25,172","26,329"
경상북도,　　　청송군,"24,991","12,478","12,513"
경상북도,　　　영양군,"16,623","8,231","8,392"
경상북도,　　　영덕군,"36,188","17,155","19,033"
경상북도,　　　청도군,"42,226","20,769","21,457"
경상북도,　　　고령군,"31,245","16,013","15,232"
경상북도,　　　성주군,"43,234","22,375","20,859"
경상북도,　　　칠곡군,"114,691","59,741","54,950"
경상북도,　　　예천군,"55,807","27,441","28,366"
경상북도,　　　봉화군,"31,317","15,773","15,544"
경상북도,　　　울진군,"48,460","24,303","24,157"
경상북도,　　　울릉군,"9,050","4,965","4,085"
경상남도,소계,"3,336,045","1,679,295","1,656,750"
경상남도,　　　창원시,"1,035,574","524,688","510,886"
경상남도,　　　의창구,"261,339","133,019","128,320"
경상남도,　　　성산구,"213,520","109,060","104,460"
경상남도,　　　마산합포구,"177,905","88,555","89,350"
경상남도,　　　마산회원구,"190,068","95,265","94,803"
경상남도,　　　진해구,"192,742","98,789","93,953"
경상남도,　　　진주시,"347,750","171,924","175,826"
경상남도,　　　통영시,"127,720","64,198","63,522"
경상남도,　　　사천시,"110,868","55,939","54,929"
경상남도,　　　사천남양출장소,0,0,0
경상남도,　　　김해시,"542,254","274,198","268,056"
경상남도,　　　장유출장소,0,0,0
경상남도,　　　밀양시,"104,497","51,214","53,283"
경상남도,　　　거제시,"245,008","128,574","116,434"
경상남도,　　　양산시,"352,682","176,863","175,819"
경상남도,　　　양산시웅상출장소,0,0,0
경상남도,　　　의령군,"26,757","13,141","13,616"
경상남도,　　　함안군,"63,879","32,425","31,454"
경상남도,　　　창녕군,"61,286","30,473","30,813"
경상남도,　　　고성군,"51,283","25,707","25,576"
경상남도,　　　남해군,"42,794","20,634","22,160"
경상남도,　　　하동군,"44,494","22,217","22,277"
경상남도,　　　산청군,"34,788","17,082","17,706"
경상남도,　　　함양군,"39,044","18,827","20,217"
경상남도,　　　거창군,"61,564","30,100","31,464"
경상남도,　　　합천군,"43,803","21,091","22,712"
제주특별자치도,소계,"675,137","338,673","336,464"
제주특별자치도,　　　제주시,"492,653","246,518","246,135"
제주특별자치도,　　　서귀포시,"182,484","92,155","90,329"
